costoTotalItems,estado,lat,lon
59703,"CIUDAD DE MEXICO","19.355751","-99.2993469"
64155,"ESTADO DE MEXICO","19.708187","-98.9597244"
86771,CHIHUAHUA,"28.660282","-106.018463"
6104,TABASCO,"20.431352","-101.724060"
252682,TAMAULIPAS,"22.391033","-97.9307327"
6577,AGUASCALIENTES,"36.845512","-121.537994"
154108,CHIAPAS,"16.748424","-93.1220397"
300288,PUEBLA,"18.46317","-97.39746"
6307,"ESTADO DE MEXICO","19.358167","-98.9431610"
17809,"NUEVO LEON","25.665813","-100.458755"
"1011686.09","CIUDAD DE MEXICO","19.432802","-99.0981674"
35373,"ESTADO DE MEXICO","19.300785","-99.5862274"
44110,"BAJA CALIFORNIA","32.507251","-116.981681"
126228,"CIUDAD DE MEXICO","41.546276","2.108613014"
"671787.2",COAHUILA,"29.424121","-98.4936294"
19054,SINALOA,"24.782844","-107.355033"
55469,MICHOACAN,"19.221721","-102.580726"
25490,VERACRUZ,"19.057754","-97.0407333"
25131,TABASCO,"17.977687","-93.3632965"
770176,"ESTADO DE MEXICO","19.643314","-99.0324249"
5768,JALISCO,"19.821216","-104.338165"
42271,"QUINTANA ROO","20.85651","-86.90054"
17609,TAMAULIPAS,"27.445478","-99.5236511"
37130,"QUINTANA ROO","18.455724","-88.9234237"
5604,CHIHUAHUA,"31.690631","-106.490074"
573732,"CIUDAD DE MEXICO","19.411100","-99.0657730"
7743,"BAJA CALIFORNIA","32.661090","-115.416893"
50470,SINALOA,"23.255996","-106.410408"
"812956.1","CIUDAD DE MEXICO","19.393030","-99.0701599"
108131,MORELOS,"18.935197","-99.2328338"
304915,"CIUDAD DE MEXICO","19.414640","-99.1395492"
42618,MORELOS,"18.861829","-99.0647125"
5735,"NUEVO LEON","12.545015","-81.7075805"
38568,"ESTADO DE MEXICO","19.295267","-99.7326431"
"64444.62","ESTADO DE MEXICO","19.634487","-99.1708679"
155319,VERACRUZ,"18.068176","-94.3973159"
102473,SONORA,"29.108289","-110.971527"
129700,"NUEVO LEON","25.669586","-100.264274"
21150,COLIMA,"18.752828","-103.724632"
105038,"ESTADO DE MEXICO","19.430774","-99.0391464"
6098,SONORA,"30.734769","-112.140228"
16915,GUANAJUATO,"20.55346","-100.8179"
14884,OAXACA,"17.189443","-96.8144455"
193655,DURANGO,"25.537076","-103.517913"
